,PERSUASION TAGS,,,,,,,,Total Persuasive,36,13
HT01:I TOLD YOU I INTEND TO TERMINATE MYSELF.,,,,,,,,,,0,0
PN60:WELL ...I THINK ALL OF THOSE PEOPLE WOULD FEEL THE SAME AS I DO THAT...,,,,,,,,,,0,0
HTO1:LOOK I HAD ALL OF THOSE PEOPLE HERE LAST NIGHT IF I INTENDED... THERE WERE PEOPLE WALKING DOWN THE STREET... IF I INTENDED TO JUST RANDOMLY WASTE PEOPLE I COULD HAVE EASILY. THAT WAS NOT MY PURPOSE.,,,,,,,,,,0,0
"PN60:I KNOW THAT. AND I I CAN SEE THAT AND ... YOU'RE OBVIOUSLY A MAN OF YOUR WORD, YOU TOLD THE PEOPLE LAST NIGHT YOU WOULDN'T HURT 'EM AND YOU DIDN'T AND YOU LET 'EM GO. BUT IT'S STILL FOR ANYBODY ELSE... IT'S IT'S ...UH...KINDA A SCARY POSITION TO ASK SOMEBODY TO GO INTO.",,,,,1,,,,compliments,1,1
HT01:WELL UH...UH...,,,,,,,,,,0,0
PN60:WOULD YOU?,,,,,,,,,,0,0
HTO1:I WOULD GO IN IF SOMEONE HAD GAVE ME THEIR WORD ... AND I KNEW THAT THEY HAD BEEN CONSISTENT IN THE PAST... I WAS CONSISTENT.,,,,,,,,,,0,0
PN60:WELL THAT'S ONLY ONE TIME... I DON'T THINK YOU CAN REALLY SAY THAT'S CONSISTENCY.,,,,,,,,,,0,0
HTO1:IT'S CONSISTENT ENOUGH.,,,,,,,,,,0,0
PN60:WHAT ... WHAT WOULD THE PROBLEM BE WITH GIVING UP THE WEAPONS AND THEN LETTING THEM BRING THE DOG IN?,,,1,,,,,,give up guns and you can see the dog,1,1
HTO1:(LAUGHS) ARE YOU ... DO YOU THING I AM TOTALLY CRAZY? GIVING UP THE WEAPONS? I HAVE NOTHING I CAN'T EVEN TERMINATE MYSELF.,,,,,,,,,,0,0
PN60:I STILL THINK THAT WE SHOULD LOOK AT THIS AS WHERE WE'RE GONNA GO WITH THE FUTURE ... NOT WHERE WE'RE GONNA END ... THERE'S A LOT TO THE FUTURE.,,,,,,,,,,0,0
HTO1:I'M GOING INTO THE DIRT... I WOULD LIKE MY DOG TO GO WITH ME.,,,,,,,,,,0,0
PN60:THAT KIND OF A POSITION ... WELL ... NOBODY KNOWS WHO YOU ARE.,,,,,,,,,,0,0
HTO1:WELL I DON'T INTEND TO HURT ANYONE EXCEPT MYSELF AND I DON'T INTEND TO HURT MY DOG OTHER THAN I KNOW HE WILL ONLY BE LOYAL TO ME AND NOBODY ELSE WILL CARE FOR HIM LIKE I HAVE.,,,,,,,,,,0,0
PN60:I'D LIKE TO GET YOUR DOG TO YOU. BUT THERE HAS TO BE A MORE REASONABLE WAY TO GET THE DOG TO YOU THAN TO ASK SOMEONE ... TO WALK INTO THAT OFFICE THERE WHILE YOU HAVE ALL THOSE WEAPONS ...WHAT DO YOU'- [ l,1,,,,,,,,reasons,1,0
HTO1:I HAVE...,,,,,,,,,,0,0
"- HAVE WITH YOU?
",1,,,,,,,,reasons,1,0
HTO1:NOW YOU'LL HAVE TO FIGURE THAT ONE OUT.,,,,,,,,,,0,0
PN60:WELL...,,,,,,,,,,0,0
HTO1:I HAVE ENOUGH BELIEVE ME...I COULD RIP THIS PLACE APART.,,,,,,,,,,0,0
PN60:BUT THERE AGAIN YOU'RE HURTING PEOPLE.,,,,1,,,,,you haven’t hurt anyone yet and you gave your word,1,1
"HT01:WELL IF THEY WANT TO COME IN AND TRY TO TAKE ME THAT'S FINE... I'M, I'M GONNA DO MYSELF IN ... SO THAT'S UNNECESSARY. BUT IF THEY WANT TO BATTLE ... WHAT THE HELL. A WARRIOR'S WAY TO GO IS JUST AS FINE ""A WAY AS ANY OTHER WAY TO GO. I DON'T WANT TO HURT ANYONE...I DID, BUT I HAVE DECIDED THAT ...JUST OUT-DO IT.",,,,,,,,,,0,0
PN60:I THINK YOU'RE BEING TOO HARD ON YOURSELF <NAME>.,,,,,,,,,,0,0
HTO1:NO I WASTED IT.,,,,,,,,,,0,0
PN60:I THINK YOU NEED TO TURN IT AROUND START THINKING THE OTHER DIRECTION ... WHERE YOU GO FROM HERE AND WHAT YOU CAN DO FOR PEOPLE.,1,,,,,,,,obligation to other people,1,0
HT01:I CAN'T DO ANYTHING FOR ANYONE NOW.,,,,,,,,,,0,0
PN60:WHY NOT!,,,,,,,,,,0,0
HTO1:IT'S ALL OVER...I TOLD YOU I LOST MY VIABILITY.,,,,,,,,,,0,0
PN60:I THINK YOU JUST MADE YOURSELF STRONGER...,,,,,1,,,,compliment,1,1
HTO1:I JUST FLIPPED OUT..... NO I FLIPPED OUT ... THAT'S IT ... THAT'S THE MADMAN ... THAT'S A DERANGED PERSON ... MY VIABILITY WENT DOWN THE TUBES.,,,,,,,,,,0,0
PN60:WELL- I THINK IF YOU TALKED TO A LOT OF OTHER PEOPLE IN THIS WORLD THAT YOU WOULD FIND THAT THAT'S NOT THE CASE.,,,,,,,,1,look at other people,1,1
HTO1:WELL YA KNOW ...I...I KNOW THIS IS YOUR JOB TO TRY TO CON ME BUT... IT JUST'-,,,,,,,,,,0,0
PN60:NO I'M NOT TRYING TO CON YOU!,,,,,,,,,,0,0
HT01:'-IT JUST DOESN'T WORK.,,,,,,,,,,0,0
PN60:WAIT NOW LET'S GET THAT STRAIGHT RIGHT NOW...,,,,,,,,,,0,0
HT01:WELL YOU TRIED TO CON ON <NAME> NOT BEING DEAD I KNOW SHE'S DEAD.,,,,,,,,,,0,0
PN60:I'M NOT TRYING TO CON YOU... I'M TELLING YOU FACTS THAT I HAVE.,1,,,,,,,,reasons,1,0
HT01:WELL THEY GAVE YOU FALSE INFORMATION.,,,,,,,,,,0,0
PN60:I CAN'T BE ASSURED OF ANYTHING ... ANYTHING THAT YOU ASK ME I'LL TRY AND ACCOMPLISH.....,,,,,,,,,,0,0
HTO1:WELL SEE THAT'S WHAT I MEAN NOBODY CAN BE ASSURED OF...,,,,,,,,,,0,0
PN60:YOU'VE GOT TO TRUST TO TRUST ME.,1,,,,,,,,trust building,1,0
HT01:I CAN'T TRUST ANYBODY RIGHT NOW.,,,,,,,,,,0,0
PN60:FOR ME TO CON YOU WOULD BE STUPID.,1,,,,,,,,reason,1,0
HT01:ALL I CAN DO IS TRUST MYSELF.,,,,,,,,,,0,0
PN60:WELL ... YOU'RE GONNA HAVE TO TRUST SOMEBODY ELSE.,,,,,,,,,,0,0
HTO1:I'D LIKE TO TRUST SOMEONE TO BRING MY DOG TO ME.,,,,,,,,,,0,0
PN60:I CAN ACCOMPLISH THAT FOR YOU ... BUT I CAN'T DO IT AS LONG AS YOU'RE IN THERE AS AS AN ARMED CAMP...I CAN'T ASK ANYBODY AND I DON'T KNOW ANYBODY ELSE THAT WOULD ASK ANYBODY TO COME IN AND ... AND TRY AND DELIVER YOUR DOG AS LONG AS YOUR ARMED LIKE THAT.,1,,,,,,,,reason,1,0
HTO1:WELL... I TOLD YOU I INTEND TO DIE ... AND ...UH...I WILL I WILL NOT HURT ANYONE THAT BRINGS THE DOG TO ME.,,,,,,,,,,0,0
PN60:WELL... I CAN'T IMAGINE ANYBODY DOING IT UNDER THESE CIRCUMSTANCES.,1,,,,,,,,reason,1,0
HTO1:WELL...,,,,,,,,,,0,0
PN60:BUT IN THE MEANTIME YOUR DOG'S COWERING IN A CORNER SCARED TO DEATH.,1,,,,,,,,you are scaring your dog,1,0
HTO1:WELL HE'S GONNA BE THE SAME WAY WHEN I GO TO THE FUNNY FARM OR WHERE EVER THEY WANNA TAKE ME TO.,,,,,,,,,,0,0
PN60:BUT AT LEAST YOU CAN MAKE SOME ARRANGEMENTS THAT YOU THINK ARE ARE NECESSARY.,,,,,,,,,,0,0
HT01:WHAT DO YOU THINK ... YOU THINK I SHOULD JUST SHOOT MYSELF OR YOU GUYS WANNA COME IN AND TRY TO TAKE ME?,,,,,,,,,,0,0
PN60:I DON'T THINK WE SHOULD GO IN EITHER DIRECTION... I THINK WE OUGHTTA DISCUSS YOU COM'IN OUT AND (INAUDIBLE),,,,,,,,,,0,0
HTO1:THAT'S INSANE.,,,,,,,,,,0,0
PN60:WELL... I DON'T THINK SO. I THINK THERE'S A LOT OF ROOM ... AND... YOU COULD DO A LOT OF THINGS ... AND THERE'S PLENTY OF HELP AVAILABLE... (PAUSE) OKAY?,1,,,,,,,,reason,1,0
HT01:(SIGHS),,,,,,,,,,0,0
PN60:YOU HAVE THE WHOLE SYSTEM AVAILABLE TO YOU...IT'S UP TO YOU NOW TO USE IT. THE WHOLE SYSTEM IS WAITING ... AND YOU CAN WORK THAT SYSTEM ANY WAY YOU WANT ... TO YOUR ADVANTAGE.,1,,,,,,,,reason,1,0
HTO1:I'M GOING RIGHT...... (PHONE DROPS TO FLOOR),,,,,,,,,,0,0

DONE
